17:47:11.551 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Successfully clicked Level------
17:47:23.676 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Driver switched from Main page to First Course Page successfully------
17:47:27.727 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------First course name fetched successfully------
17:47:28.794 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------First Course Rating fetched successfully------
17:47:29.851 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------First Course Duration fetched successfully------
17:47:30.940 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Driver switched from Main page to First Course Page and closed First course page closed successfully------
17:47:43.042 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Driver switched from Main page to Second Course Page successfully------
17:47:47.087 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Second course name fetched successfully------
17:47:56.212 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Second course rating fetched successfully------
17:48:05.279 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Second course duration fetched successfully------
17:48:06.351 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Driver switched from Main page to Second Course Page and closed First course page closed successfully------
17:48:10.691 [main] INFO  testBase.baseClass - closing the browser
17:48:44.187 [main] INFO  testCases.TestCase_002_LanguageLearningValidation - ------Coursera home page validated successfully------
17:48:52.924 [main] INFO  testCases.TestCase_002_LanguageLearningValidation - ------Entered value WebDevelopment successfully------
17:48:57.922 [main] INFO  testCases.TestCase_002_LanguageLearningValidation - ------Languages list fetched successfully------
17:49:02.160 [main] INFO  testCases.TestCase_002_LanguageLearningValidation - ------Levels list fetched successfully------
17:49:06.300 [main] INFO  testBase.baseClass - closing the browser
17:49:40.462 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Coursera home page validated successfully------
17:49:50.029 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Enterprise page is opened successfully------
17:49:51.061 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Courses for Campus form with invalid details (email) are filled successfully------
17:49:55.488 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Verify message for invalid details thrown successfully------
17:49:56.337 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Courses for Campus form with invalid details(phone) are filled successfully------
17:50:06.705 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Verify message for invalid details thrown successfully------
17:50:07.480 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Courses for Campus form with valid details are filled successfully------
17:50:24.935 [main] INFO  testCases.TestCase_003_EnterpriseValidation - ------Verify message for valid details are captured successfully------
17:50:29.374 [main] INFO  testBase.baseClass - closing the browser
15:07:16.196 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Coursera home page successfully------
15:08:25.329 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Entered value WebDevelopment successfully------
15:08:52.500 [main] INFO  testBase.baseClass - closing the browser
20:19:14.011 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Coursera home page successfully------
20:19:21.841 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Entered value WebDevelopment successfully------
20:19:26.497 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Successfully clicked Language------
20:19:30.914 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Successfully clicked Level------
20:19:43.040 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Driver switched from Main page to First Course Page successfully------
20:19:47.161 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------First course name fetched successfully------
20:19:48.267 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------First Course Rating fetched successfully------
20:19:49.353 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------First Course Duration fetched successfully------
20:19:50.444 [main] INFO  testCases.TestCase_001_WebDevelopmentValidation - ------Driver switched from First Course page to Main Page and closed First course page closed successfully------
